ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1230;-51.2074;-30.0327;Porto Alegre;Capital Estadual;RIO GRANDE DO NORTE;4430;6449;5863;4848;3819;2777;2309;2524;3194;3596;4822;6248;6716
46066;-36.7172;-6.9452;Equador;Sede Municipal;RIO GRANDE DO NORTE;5783;6015;5977;6025;5610;5025;4640;4945;5724;6275;6475;6516;6172
46452;-37.1988;-6.816;Ipueira;Sede Municipal;RIO GRANDE DO NORTE;5922;6174;6182;6200;5849;5208;4762;5032;5798;6373;6582;6606;6291
46456;-36.7344;-6.77;Santana do Seridó;Sede Municipal;RIO GRANDE DO NORTE;5805;6037;6052;6109;5683;5068;4643;4939;5728;6267;6449;6482;6206
46839;-37.3987;-6.6658;Serra Negra do Norte;Sede Municipal;RIO GRANDE DO NORTE;5935;6106;6236;6179;5835;5216;4786;5091;5837;6379;6598;6680;6282
46840;-37.203;-6.7143;São João do Sabugi;Sede Municipal;RIO GRANDE DO NORTE;5950;6162;6240;6208;5843;5226;4776;5085;5834;6394;6621;6668;6344
46843;-36.9452;-6.7024;Ouro Branco;Sede Municipal;RIO GRANDE DO NORTE;5910;6120;6187;6227;5848;5179;4730;5025;5799;6326;6558;6607;6309
46846;-36.6569;-6.6853;Parelhas;Sede Municipal;RIO GRANDE DO NORTE;5789;6045;6062;6032;5700;5081;4641;4929;5679;6222;6408;6471;6192
47231;-36.7764;-6.5857;Jardim do Seridó;Sede Municipal;RIO GRANDE DO NORTE;5828;6037;6049;6107;5717;5160;4621;4992;5756;6314;6530;6504;6145
47233;-36.5912;-6.5572;Carnaúba dos Dantas;Sede Municipal;RIO GRANDE DO NORTE;5692;5935;5868;5941;5517;4956;4533;4839;5608;6147;6413;6476;6067
47599;-38.3111;-6.4815;Paraná;Sede Municipal;RIO GRANDE DO NORTE;5934;6037;6020;6014;5656;5206;4965;5281;6051;6462;6602;6708;6203
47601;-38.1823;-6.4586;Tenente Ananias;Sede Municipal;RIO GRANDE DO NORTE;5943;6022;5970;6052;5715;5260;4982;5269;6031;6464;6597;6750;6203
47610;-37.2733;-6.4625;Timbaúba dos Batistas;Sede Municipal;RIO GRANDE DO NORTE;5949;6142;6271;6180;5862;5295;4835;5120;5856;6389;6606;6579;6257
47612;-37.0956;-6.4626;Caicó;Sede Municipal;RIO GRANDE DO NORTE;5910;6164;6199;6143;5802;5202;4771;5053;5806;6377;6564;6545;6296
47623;-35.9464;-6.4664;Japi;Sede Municipal;RIO GRANDE DO NORTE;5438;5724;5759;5784;5335;4803;4386;4543;5304;5732;5956;6139;5795
47628;-35.4343;-6.4791;Nova Cruz;Sede Municipal;RIO GRANDE DO NORTE;5461;5771;5810;5875;5381;4845;4406;4583;5268;5693;5905;6135;5859
47630;-35.2844;-6.4856;Montanhas;Sede Municipal;RIO GRANDE DO NORTE;5533;5922;6019;6029;5421;4845;4400;4520;5266;5760;5988;6202;6017
47982;-38.3243;-6.3999;Major Sales;Sede Municipal;RIO GRANDE DO NORTE;5930;6010;5982;6013;5641;5210;4950;5324;6069;6476;6582;6700;6201
47982;-38.3902;-6.4063;Luís Gomes;Sede Municipal;RIO GRANDE DO NORTE;5930;6010;5982;6013;5641;5210;4950;5324;6069;6476;6582;6700;6201
47985;-38.0145;-6.4057;Alexandria;Sede Municipal;RIO GRANDE DO NORTE;5979;6107;6068;6127;5801;5273;4971;5295;6055;6488;6632;6694;6231
47992;-37.3499;-6.3771;Jardim de Piranhas;Sede Municipal;RIO GRANDE DO NORTE;5966;6199;6248;6220;5860;5297;4846;5158;5924;6416;6604;6603;6214
47994;-37.1867;-6.3802;São Fernando;Sede Municipal;RIO GRANDE DO NORTE;5927;6141;6132;6108;5832;5240;4824;5132;5880;6431;6590;6596;6217
47997;-36.8813;-6.448;São José do Seridó;Sede Municipal;RIO GRANDE DO NORTE;5806;6030;6033;6079;5698;5097;4693;4944;5717;6290;6469;6470;6158
47998;-36.785;-6.4111;Cruzeta;Sede Municipal;RIO GRANDE DO NORTE;5780;5994;6017;6039;5638;5084;4681;4920;5657;6275;6483;6495;6077
47999;-36.6409;-6.4353;Acari;Sede Municipal;RIO GRANDE DO NORTE;5761;6011;5976;5986;5604;5033;4644;4880;5626;6244;6502;6510;6114
48003;-36.2175;-6.3859;Coronel Ezequiel;Sede Municipal;RIO GRANDE DO NORTE;5648;5927;5935;5917;5524;4959;4551;4747;5511;6021;6299;6382;6000
48003;-36.2033;-6.4188;Jaçanã;Sede Municipal;RIO GRANDE DO NORTE;5648;5927;5935;5917;5524;4959;4551;4747;5511;6021;6299;6382;6000
48008;-35.7049;-6.4178;Serra de São Bento;Sede Municipal;RIO GRANDE DO NORTE;5536;5813;5936;5984;5484;4911;4504;4629;5377;5785;5943;6159;5902
48008;-35.7834;-6.4374;Monte das Gameleiras;Sede Municipal;RIO GRANDE DO NORTE;5536;5813;5936;5984;5484;4911;4504;4629;5377;5785;5943;6159;5902
48009;-35.6445;-6.4306;Passa e Fica;Sede Municipal;RIO GRANDE DO NORTE;5480;5755;5809;5866;5440;4919;4522;4692;5344;5726;5891;6061;5733
48010;-35.5973;-6.3916;Lagoa d'Anta;Sede Municipal;RIO GRANDE DO NORTE;5476;5745;5829;5876;5425;4883;4479;4642;5315;5722;5903;6095;5805
48013;-35.2217;-6.439;Pedro Velho;Sede Municipal;RIO GRANDE DO NORTE;5505;5848;5970;6020;5412;4840;4409;4516;5273;5718;5942;6158;5955
48014;-35.1293;-6.3814;Canguaretama;Sede Municipal;RIO GRANDE DO NORTE;5548;5868;6019;6059;5457;4862;4424;4547;5299;5818;6021;6171;6024
48015;-35.0071;-6.3712;Baía Formosa;Sede Municipal;RIO GRANDE DO NORTE;5629;5928;6071;6111;5543;4982;4543;4700;5479;5879;6080;6204;6031
48364;-38.4877;-6.3152;Venha-Ver;Sede Municipal;RIO GRANDE DO NORTE;5910;5961;5896;5905;5571;5205;4975;5364;6097;6489;6585;6712;6160
48365;-38.3119;-6.2518;Riacho de Santana;Sede Municipal;RIO GRANDE DO NORTE;5904;5960;5934;5955;5615;5208;4953;5347;6048;6471;6552;6640;6160
48366;-38.2826;-6.3114;José da Penha;Sede Municipal;RIO GRANDE DO NORTE;5932;6006;6039;6016;5724;5279;4992;5317;6001;6441;6554;6621;6188
48367;-38.1645;-6.285;Marcelino Vieira;Sede Municipal;RIO GRANDE DO NORTE;5937;6045;6020;6064;5776;5250;4931;5295;6037;6461;6573;6624;6165
48368;-38.0464;-6.264;Pilões;Sede Municipal;RIO GRANDE DO NORTE;5973;6091;6010;6125;5828;5268;4957;5313;6091;6495;6638;6670;6187
48371;-37.7889;-6.2726;João Dias;Sede Municipal;RIO GRANDE DO NORTE;5950;6043;6089;6066;5735;5299;4931;5294;6029;6541;6596;6573;6198
48383;-36.5149;-6.2553;Currais Novos;Sede Municipal;RIO GRANDE DO NORTE;5692;5918;5935;5866;5560;4956;4605;4837;5573;6180;6369;6433;6076
48388;-36.0856;-6.3422;São Bento do Trairí;Sede Municipal;RIO GRANDE DO NORTE;5467;5705;5818;5850;5435;4884;4349;4534;5307;5775;6007;6166;5778
48391;-35.7126;-6.3176;São José do Campestre;Sede Municipal;RIO GRANDE DO NORTE;5523;5798;5909;5941;5494;4955;4499;4619;5348;5744;5960;6149;5863
48394;-35.4805;-6.3112;Santo Antônio;Sede Municipal;RIO GRANDE DO NORTE;5521;5744;5900;6026;5422;4898;4481;4655;5298;5747;5995;6226;5857
48394;-35.4972;-6.2781;Serrinha;Sede Municipal;RIO GRANDE DO NORTE;5521;5744;5900;6026;5422;4898;4481;4655;5298;5747;5995;6226;5857
48395;-35.3117;-6.3329;Espírito Santo;Sede Municipal;RIO GRANDE DO NORTE;5553;5859;6002;6085;5432;4939;4446;4550;5355;5748;6028;6274;5914
48395;-35.3735;-6.3468;Várzea;Sede Municipal;RIO GRANDE DO NORTE;5553;5859;6002;6085;5432;4939;4446;4550;5355;5748;6028;6274;5914
48395;-35.3273;-6.2707;Jundiá;Sede Municipal;RIO GRANDE DO NORTE;5553;5859;6002;6085;5432;4939;4446;4550;5355;5748;6028;6274;5914
48395;-35.3703;-6.2731;Passagem;Sede Municipal;RIO GRANDE DO NORTE;5553;5859;6002;6085;5432;4939;4446;4550;5355;5748;6028;6274;5914
48396;-35.2092;-6.2678;Goianinha;Sede Municipal;RIO GRANDE DO NORTE;5544;5855;5993;6065;5443;4880;4426;4526;5317;5789;6013;6228;5989
48398;-35.0763;-6.3138;Vila Flor;Sede Municipal;RIO GRANDE DO NORTE;5718;6001;6150;6193;5586;5038;4576;4742;5548;6021;6241;6352;6173
48747;-38.4445;-6.2501;Coronel João Pessoa;Sede Municipal;RIO GRANDE DO NORTE;5884;5868;5872;5833;5553;5168;5034;5366;6103;6474;6574;6665;6100
48747;-38.495;-6.2032;São Miguel;Sede Municipal;RIO GRANDE DO NORTE;5884;5868;5872;5833;5553;5168;5034;5366;6103;6474;6574;6665;6100
48749;-38.2945;-6.2039;Água Nova;Sede Municipal;RIO GRANDE DO NORTE;5926;5936;6026;6020;5699;5285;4992;5324;6047;6445;6572;6616;6156
48749;-38.2214;-6.1903;Rafael Fernandes;Sede Municipal;RIO GRANDE DO NORTE;5926;5936;6026;6020;5699;5285;4992;5324;6047;6445;6572;6616;6156
48753;-37.8378;-6.1571;Frutuoso Gomes;Sede Municipal;RIO GRANDE DO NORTE;5965;6057;6043;6041;5795;5330;4986;5328;6037;6498;6636;6640;6195
48753;-37.8837;-6.2141;Antônio Martins;Sede Municipal;RIO GRANDE DO NORTE;5965;6057;6043;6041;5795;5330;4986;5328;6037;6498;6636;6640;6195
48765;-36.683;-6.2193;São Vicente;Sede Municipal;RIO GRANDE DO NORTE;5743;5945;5914;5905;5544;5066;4650;4927;5717;6244;6452;6488;6064
